seller_name,total_orders,total_lines,total_value,avg_order_value,distinct_products,distinct_cities
AP MEPMA VISAKHAPATNAM,17274,17363,2508077.2,144.45,10,333
MEPMA VIZIANAGARAM,14148,14216,1703445.3,119.83,6,92
AP MEPMA KRISHNA,13113,13457,2614817.4,194.31,32,203
MEPMA PRAKASAM,7837,7876,878386.9,111.53,31,164
VIJAYAWADA SELLERPOINT,7708,7779,2068126.2,265.86,6,65
MEPMA TIRUPATHI,7311,7339,922434.3,125.69,80,147
MEPMA CHITTOOR,5739,5741,819721.4,142.78,13,94
MEPMA KURNOOL,5718,5750,1083835.8,188.49,14,140
MEPMA BHIMAVARAM,5677,5726,663760.3,115.92,9,157
sellerpoint Anantapur,5623,5692,1122191.0,197.15,10,83
MEPMA KADAPA,5087,5097,655177.4,128.54,24,166
MEPMA NTR,4833,4943,846981.4,171.35,33,120
AP MEPMA ELURU,4779,4790,557107.2,116.31,8,95
Kakinada,4669,4670,795073.5,170.25,3,51
nelloreseller point,4404,4437,630770.1,142.16,53,107
APMEPMA EAST GODAVARI,4142,4159,602159.9,144.78,14,42
MEPMA SRIKAKULAM,3578,3578,1102860.9,308.23,2,51
MEPMA KONASEEMA,3044,3053,390314.78,127.85,9,95
MEPMA PALNADU,2250,2256,340240.5,150.82,2,103
Jute Bag Stylish Printed Design,1985,1985,0.0,,4,1
AP MEPMA ANAKAPALLI,1894,1895,231224.3,122.02,8,129
Jute Bag,1379,1379,74750.4,136.91,4,2
Home Cleaning Kit,782,782,0.0,,4,1
Cotton Petticoat,529,529,71415.0,135.0,2,1
Pickles set of 2,409,409,0.0,,2,1
Jonna And Ragi Biscuits,373,373,47333.7,126.9,2,1
Sri Pada Agarbatti Set of 5,349,349,0.0,,2,1
Banjara Bag,313,313,37137.6,118.65,2,1
Sri Pada Agarbatti Set with Rose Dhoop Cones,207,207,0.0,,3,1
Karam Podulu set of 2,196,196,0.0,,1,1
Homemade Pickle 500gm Bottle,196,196,0.0,,3,1
Tomato Pickle 250 Grms,145,145,16704.0,115.2,2,1
Sri Pada Agarbatti Set with Rudra Flora Sticks,101,101,0.0,,2,1
Turmeric powder,81,81,0.0,,3,1
Sri Pada Agarbatti set with Cup Sambrani,73,73,0.0,,2,1
Sri Pada Agarbatti Set of 4,67,67,0.0,,3,1
Red chilli Powder,58,58,0.0,,1,1
Sri Pada Agarbatti Set with Lavender Dhoop Cones,58,58,0.0,,3,1
Masala karam,58,58,0.0,,1,1
Sri Pada Agarbatti Set with Camphor Jar,48,48,0.0,,2,1
Sri Pada Agarbatti Set with Mogra Dhoop Cones,45,45,0.0,,2,1
Sri Pada Agarbatti Set with Kasturi Dhoop Cones,44,44,0.0,,3,1
Karam Podulu set of  2,43,43,0.0,,1,1
Aroma Star design Candles Set of 11,38,38,0.0,,2,1
Aroma Candles set of 6,37,37,0.0,,2,1
Aroma Candles Set of 11,35,35,0.0,,1,1
Aroma Candle Set of 3,22,22,0.0,,2,1
Aroma Candles set of 12,16,16,0.0,,2,1
Aroma Candles set of 15,14,14,0.0,,1,1
Aroma Candles set of 5,8,8,0.0,,1,1
Aroma Candles set of 3,6,6,0.0,,2,1
Wincia,3,3,3.0,1.0,1,1
Aroma Candles set of  3,1,1,0.0,,1,1
